current_time,weather,temp,humid
04시 50분 46초,Clouds,23.97,73
04시 53분 46초,Clouds,23.97,73
05시 50분 24초,Clouds,25.41,67
06시 00분 04초,Clouds,25.41,67
06시 58분 35초,Clouds,24.74,72
07시 42분 25초,Clouds,24.79,67
07시 54분 18초,Clouds,24.79,67
09시 03분 35초,Clouds,26.76,74
09시 52분 39초,Clouds,26.76,69
10시 49분 04초,Clear,24.76,78
10시 58분 46초,Clear,24.76,78
11시 33분 09초,Clouds,23.76,88
11시 48분 56초,Clouds,23.76,88
11시 57분 24초,Clouds,23.76,88
13시 58분 12초,Clouds,23.76,94
14시 44분 35초,Clouds,23.76,94
14시 59분 37초,Clouds,23.76,94
15시 42분 52초,Clouds,23.76,100
